operator_id,operator_name,point_id,site_external_id,connector_type,charging_mode,voltage,max_current,max_power_w,expected_w,ratio,categoria,severidade
ATLA,"Atlante Infra Portugal, S.A",BRB-00003-03,BRB-00003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BRG-00109-03,BRG-00109,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BRG-00110-03,BRG-00110,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BRG-00111-03,BRG-00111,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BRG-00121-01,BRG-00121,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BRG-00121-02,BRG-00121,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BRG-00127-03,BRG-00127,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BRR-00132-03,BRR-00132,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",BTL-00006-03,BTL-00006,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CBR-00085-01,CBR-00085,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CBR-00091-03,CBR-00091,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CBR-00092-03,CBR-00092,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CBR-00115-01,CBR-00115,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CBR-00115-02,CBR-00115,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CBR-00116-01,CBR-00116,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CBR-00116-02,CBR-00116,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CCH-00004-03,CCH-00004,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CDN-00003-03,CDN-00003,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CHM-00005-03,CHM-00005,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CHV-00018-03,CHV-00018,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CHV-00024-03,CHV-00024,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
ATLA,"Atlante Infra Portugal, S.A",CLD-00028-03,CLD-00028,iec62196T2,mode3AC3p,230.0,32.0,22000.0,12747.9,1.726,sobre-declaração,CRÍTICO
